"image","xmin","ymin","xmax","ymax","label"
"Screen Shot 2021-07-15 at 10.10.39 PM_catface.jpg",387.20310765815765,267.7046979865772,459.9577468719653,316.89885040897656,"fire"
"Screen Shot 2021-07-15 at 10.10.39 PM_catface.jpg",68.72023232107554,362.45674942323825,184.60692749700854,396.19583682885906,"fire"
"Screen Shot 2021-07-15 at 10.10.39 PM_catface.jpg",35.57650855061217,385.419797346896,54.69548944098571,399.9943044777685,"fire"
"Screen Shot 2021-07-15 at 10.10.39 PM_catface.jpg",401.2818351516978,353.2751284605705,436.7332832768279,387.4951958368289,"fire"
"Screen Shot 2021-07-15 at 10.10.39 PM_catface.jpg",516.0157584508966,359.9093369861577,552.129519988641,380.89915189807044,"fire"
"Screen Shot 2021-07-15 at 10.10.39 PM_catface.jpg",531.1841971919222,293.5953885276846,617.236024642758,372.40284186241615,"fire"
"Screen Shot 2021-07-15 at 10.10.39 PM_catface.jpg",0.6827344481608977,305.33391883389265,48.87634887017897,325.99488123951346,"fire"
"Screen Shot 2021-07-15 at 10.10.39 PM_catface.jpg",616.0488346281909,314.98849753565446,665.7043653481809,351.7852348993289,"fire"
"Screen Shot 2021-07-25 at 2.31.16 PM.png",55.41773734479051,343.1057691934331,197.99928065224836,441.8241544386027,"fire"
"Screen Shot 2021-07-25 at 2.31.09 PM.png",729.5770346316592,368.38881669806307,857.9245922499306,481.5316125993898,"fire"
"Screen Shot 2021-07-25 at 2.31.09 PM.png",487.4639800449587,468.0473372781065,694.6881243063262,517.5266272189349,"fire"
"Screen Shot 2021-07-25 at 2.31.09 PM.png",166.57699026092968,440.44997861963753,345.5743561299077,624.1830447947484,"fire"
"Screen Shot 2021-07-25 at 2.31.09 PM.png",185.60345411565274,359.7305857641457,243.9939084746332,439.2858186078495,"fire"
"Screen Shot 2021-07-25 at 2.36.39 PM.png",236.86993984006486,175.5175074762477,318.4719698923939,244.49371293176222,"fire"
"Screen Shot 2021-07-25 at 2.36.39 PM.png",639.821694428066,2.20316904368418,744.7529642357017,111.79630846854968,"fire"
"Screen Shot 2021-07-25 at 2.36.39 PM.png",744.4236853257665,471.2252747252747,888.7509535303656,552.6759945376889,"fire"
"Screen Shot 2021-07-25 at 2.36.39 PM.png",674.973570625737,118.61514695834764,775.8076033682194,165.82141940497652,"fire"
"Screen Shot 2021-07-25 at 2.36.39 PM.png",322.1508144162736,263.7360692286229,462.12053176591985,445.4085277515453,"fire"
"Screen Shot 2021-07-25 at 2.36.39 PM.png",449.9668129974941,482.8948142921531,500.6383908829599,506.7661718571142,"fire"
"Screen Shot 2021-07-25 at 2.36.39 PM.png",154.86049321012678,343.9984233702495,321.33523501989976,448.2900037381238,"fire"
"Screen Shot 2021-07-25 at 2.36.39 PM.png",260.8384595187205,264.0953758155906,299.9643186173349,343.5622956551911,"fire"
"Screen Shot 2021-07-25 at 2.36.39 PM.png",31.81067470334611,420.7167503720238,152.89943363981428,448.7100959749885,"fire"
"Screen Shot 2021-07-25 at 2.36.39 PM.png",135.54021640993514,341.47606751159,154.56964571970815,418.0252140031193,"fire"
"Screen Shot 2021-07-25 at 2.32.00 PM.png",124.92685671519492,315.7437769521581,203.17796611891734,405.10789263130414,"fire"
"Screen Shot 2021-07-25 at 2.32.00 PM.png",210.42883463361022,430.0665070486541,285.10735819792245,494.3569176400062,"fire"
"Screen Shot 2021-07-25 at 2.32.00 PM.png",3.152052596724126,383.73921393970454,45.99447608126387,434.1933823387222,"fire"
"Screen Shot 2021-07-25 at 2.32.00 PM.png",4.2085291516370695,459.08484345993196,84.56648510118964,526.2682131323484,"fire"
"Screen Shot 2021-07-25 at 2.32.00 PM.png",64.83199649857363,378.91560783763924,92.81932191499462,460.20223497447404,"fire"
"Screen Shot 2021-07-25 at 2.32.00 PM.png",121.76119754634607,441.072928188815,153.13455122292504,491.91227543896974,"fire"
"Screen Shot 2021-07-25 at 2.32.00 PM.png",350.2475927355022,293.01035808903157,425.2156248103236,344.4630988697014,"fire"
"Screen Shot 2021-07-25 at 2.32.00 PM.png",165.9371060827596,450.5108548306003,179.2782680837481,473.83308395536824,"fire"
"Screen Shot 2021-07-25 at 2.36.54 PM.png",110.01341195058875,421.20493197659835,433.2873970057141,607.0655237600345,"fire"
"Screen Shot 2021-07-25 at 2.36.54 PM.png",7.5980015287917935,552.190742590668,107.08916755362965,612.0674356723051,"fire"
"Screen Shot 2021-07-25 at 2.31.45 PM.png",787.9696254920748,488.7772292029075,925.2147436279568,575.2581677901342,"fire"
"Screen Shot 2021-07-25 at 2.31.45 PM.png",267.12686465450713,551.352742917495,386.5916552951148,639.8809049996893,"fire"
"Screen Shot 2021-07-25 at 2.31.45 PM.png",3.632015249440726,595.900296463407,186.9314778420028,646.5322566553801,"fire"
"Screen Shot 2021-07-25 at 2.31.45 PM.png",613.5875134399279,499.22111374720424,663.1466026517845,539.7973293054174,"fire"
"Screen Shot 2021-07-25 at 2.31.45 PM.png",529.1877448180408,514.2626079460736,556.507129935922,537.2742548614563,"fire"
"Screen Shot 2021-07-25 at 2.36.43 PM.png",59.99469217687812,443.7867126464844,113.26780966569262,472.3240280151367,"fire"
"Screen Shot 2021-07-25 at 2.36.43 PM.png",2.2466191536313818,461.31005096435547,11.74119671176991,483.0193328857422,"fire"
"Screen Shot 2021-07-25 at 2.36.43 PM.png",426.23191462610987,396.10001373291016,672.5549389567148,454.0070266723633,"fire"
"Screen Shot 2021-07-25 at 2.36.43 PM.png",721.1776129821033,416.4010925292969,779.2533079564373,447.41680908203125,"fire"
"Screen Shot 2021-07-25 at 2.36.43 PM.png",295.43087243557505,409.7258529663086,398.3635774161522,449.87064361572266,"fire"
"Screen Shot 2021-07-25 at 2.36.43 PM.png",6.807917418146504,401.8530960083008,240.01512073173905,439.05592346191406,"fire"
"Screen Shot 2021-07-25 at 2.37.30 PM.png",450.47927640664454,398.50262232211674,669.2752204663825,524.3957973873669,"fire"
"Screen Shot 2021-07-25 at 2.37.22 PM.png",169.406601414536,499.59324616652265,458.6557469223485,870,"fire"
"Screen Shot 2021-07-25 at 2.37.22 PM.png",112.61327015269887,666.98607811561,166.40219578598487,745.8281942514272,"fire"
"Screen Shot 2021-07-25 at 2.37.02 PM.png",7.447319330457351,751.743486071617,192.8282663878367,814,"fire"
"Screen Shot 2021-07-25 at 2.37.02 PM.png",581.7887150585718,683.6181780330236,666.4516530320567,767.3059833233174,"fire"
"Screen Shot 2021-07-25 at 2.37.02 PM.png",355.69238938867846,741.4353217434481,483.2176364337823,792.91816479538,"fire"
"Screen Shot 2021-07-25 at 2.37.02 PM.png",811.7592044577722,647.7011879067484,857.1020590014731,746.887266577744,"fire"
"Screen Shot 2021-07-25 at 2.37.02 PM.png",218.88074812798118,750.5356298736515,290.6974119449705,789.0924168456115,"fire"
"Screen Shot 2021-07-25 at 2.37.02 PM.png",107.59722331825196,690.4766163208695,161.98345762310606,752.8122682267237,"fire"
"Screen Shot 2021-07-25 at 2.37.14 PM.png",927.0112463611813,678.3769045617653,1137.5105701108305,775.5615132833691,"fire"
"Screen Shot 2021-07-25 at 2.37.14 PM.png",1058.862415386504,476.8944954897999,1132.357668481692,541.3328599153763,"fire"
"Screen Shot 2021-07-25 at 2.37.14 PM.png",1284.0129528794894,684.5442724521077,1338.5327493686868,730.3340837088889,"fire"
"Screen Shot 2021-07-25 at 2.37.14 PM.png",1376.8252709385522,748.1630660707222,1424,818.4551174170716,"fire"
"Screen Shot 2021-07-25 at 2.37.14 PM.png",1147.8271035002806,761.0975520597875,1379.326171875,884,"fire"
"Screen Shot 2021-07-25 at 2.37.06 PM.png",732.3314578894414,416.0313449787147,908.2367300939079,580.9630601319625,"fire"
"Screen Shot 2021-07-25 at 2.37.06 PM.png",105.61225125605009,643.5015529705041,200.93706761626686,726.1429439142784,"fire"
"Screen Shot 2021-07-25 at 2.38.21 PM.png",2.334368670428241,592.8136496640481,98.15403917100696,710.8369558766401,"fire"
"Screen Shot 2021-07-25 at 2.38.21 PM.png",112.38694480613427,682.8452152933644,188.5925925925926,730.232044198895,"fire"
"Screen Shot 2021-07-25 at 2.38.21 PM.png",872.599378797743,437.6781477954506,953.1804108796296,554.8154247417415,"fire"
"Screen Shot 2021-07-25 at 2.38.21 PM.png",880.1057807074653,650.9626748100828,939.35888671875,710.0121135114525,"fire"
"Screen Shot 2021-07-25 at 2.38.21 PM.png",1099.7772171585648,497.8227246813133,1132.828785083912,551.1495350087764,"fire"
"Screen Shot 2021-07-25 at 2.38.21 PM.png",161.13801179108796,745.0162594059334,194.22222222222223,763.9999999999999,"fire"
"Screen Shot 2021-07-25 at 2.38.27 PM.png",0,548.9153481953738,76.39485677083333,672.7873657466384,"fire"
"Screen Shot 2021-07-25 at 2.38.27 PM.png",98.25981987847221,639.4049573497359,164.12308304398147,683.5903409047304,"fire"
"Screen Shot 2021-07-25 at 2.38.27 PM.png",102.93791594328704,713.0506085768664,177.66438802083331,742.9604125257091,"fire"
"Screen Shot 2021-07-25 at 2.38.27 PM.png",851.8863932291666,406.37071302972276,977.4103913483796,509.0006496826651,"fire"
"Screen Shot 2021-07-25 at 2.38.27 PM.png",859.1625072337963,606.2700108975932,1049.6622721354167,721.1378312925926,"fire"
"Screen Shot 2021-07-25 at 2.38.52 PM.png",3.5813139871834148,579.3029376708056,309.54837681057666,636.7608735407259,"fire"
"Screen Shot 2021-07-25 at 2.38.52 PM.png",405.6505065784994,595.2624293570283,866.9963017216435,650.0522296165785,"fire"
"Screen Shot 2021-07-25 at 2.38.52 PM.png",833.5523913015727,619.552586080457,1252,674.319391634981,"fire"
"Screen Shot 2021-07-25 at 2.38.32 PM.png",7.007071567776416,600.7509801660517,255.15972581252552,780.5941535977861,"fire"
"Screen Shot 2021-07-25 at 2.38.32 PM.png",861.391237745098,479.98172999308116,977.059412073206,572.2094095940959,"fire"
"Screen Shot 2021-07-25 at 2.38.32 PM.png",867.4496413419969,665.8783296817343,1070.7920927159926,771.1143803332563,"fire"
"Screen Shot 2021-07-25 at 2.38.32 PM.png",1175.0258382161458,637.0773934790129,1241.057918241081,671.1081642066421,"fire"
"Screen Shot 2021-07-25 at 2.38.32 PM.png",829.066128333929,586.9938811692805,932.3438239336532,671.613292060655,"fire"
"Screen Shot 2021-07-25 at 2.38.32 PM.png",1187.9553778488391,698.4247073916051,1225.135276245915,734.3128387338561,"fire"
"Screen Shot 2021-07-25 at 2.38.32 PM.png",350.4809166735813,541.9964216732011,540.3847003346694,671.1173532633763,"fire"
"Screen Shot 2021-07-25 at 2.38.32 PM.png",543.1145738921654,468.8236475870618,794.9956427015251,623.0266050219096,"fire"
